Assignee,Closed,Opened,Opener,Spendtime,Summary,Type
srowen,2015/03/24 10:23:17,2014/12/10 09:42:41,srowen,2436,"Enable assertions in SBT, Maven tests / AssertionError from Hive's LazyBinaryInteger",Bug
,2015/01/23 06:57:56,2014/12/10 08:33:20,zsxwing,80676,ContextWaiter didn't handle 'spurious wakeup',Bug
zsxwing,2014/12/16 22:38:12,2014/12/10 07:26:04,zsxwing,54728,SparkPlan.codegenEnabled may be initialized to a wrong value,Bug
,2014/12/15 19:25:48,2014/12/10 03:06:10,newjunwei,58778,Failed to run collect,Question
vanzin,2015/01/28 23:08:13,2014/12/10 02:03:06,vanzin,75907,Improve Guava shading in Spark,Improvement
,2014/12/10 08:25:54,2014/12/10 01:43:03,ZhangBanger,24171,Add support for hadoop-2.5 + bump jets3t version,Improvement
tdas,2014/12/11 14:31:21,2014/12/09 23:02:43,tdas,55718,Update Streaming Programming Guide for Spark 1.2,Improvement
srowen,2014/12/10 00:39:36,2014/12/09 22:49:18,srowen,6618,BlockTransferMessage.toByteArray() trips assertion,Bug
,2015/01/20 09:48:06,2014/12/09 21:14:23,ilayaperumalg,45223,Duplicate RegisterReceiver messages sent from ReceiverSupervisor,Bug
,2014/12/23 23:24:53,2014/12/09 20:13:59,ilayaperumalg,11454,ReceiverInfo removal at ReceiverTracker upon deregistering receiver,Bug
,2014/12/17 05:18:13,2014/12/09 16:11:23,lian cheng,47210,Refactor Parquet test suites,Test
viirya,2015/03/11 21:11:22,2014/12/09 10:25:47,viirya,38735,Replace breezeSquaredDistance,Improvement
,2015/02/17 23:52:08,2014/12/09 09:41:42,bobrik,51026,Spark does not remove temp files,Bug
zsxwing,2015/02/04 04:17:10,2014/12/09 08:53:16,zsxwing,69834,"Redesign the ""primitive type => Writable"" implicit APIs to make them be activated automatically",Improvement
adrian-wang,2015/01/21 18:48:11,2014/12/09 07:13:05,adrian-wang,41706,way to find assembly jar is too strict,Improvement
meiyoula,2014/12/16 06:32:05,2014/12/09 02:44:09,meiyoula,13676,Add some checks and messages on making local dir,Improvement
josephkb,2014/12/11 07:42:15,2014/12/09 01:22:54,josephkb,22761,Create SchemaRDD from case classes with multiple constructors,Improvement
tdas,2014/12/31 22:37:30,2014/12/08 22:04:11,joshrosen,1999,"Flaky test in ReceivedBlockTrackerSuite: ""block addition, block to batch allocation, and cleanup with write ahead log""",Bug
josephkb,2015/03/02 19:33:11,2014/12/08 19:56:38,josephkb,84993,Standardize ML Prediction APIs,Sub-task
,2015/02/25 23:55:57,2014/12/08 19:19:28,talk2siva8,16589,NullPointerException while launching application using spark submit in cluster deploy mode.,Bug
tigerquoll,2015/01/04 21:31:09,2014/12/08 16:32:39,jackylk,17910,Clean up SparkContext after DAGScheduler initialization errors,Sub-task
,2015/01/29 23:42:46,2014/12/08 14:12:16,lian cheng,34230,Parquet filter pushdown for BYTE and SHORT types,Bug
,2014/12/09 18:35:22,2014/12/08 07:19:18,lian cheng,40564,"When called with arguments referring column fields, PMOD throws NPE",Bug
,2014/12/09 05:31:50,2014/12/07 04:28:18,huangjs,3812,Column values become all NULL after doing ALTER TABLE CHANGE for renaming column names (Parquet external table in HiveContext),Bug
,2015/01/10 17:31:22,2014/12/06 17:16:17,brdwrd,905,PySpark Json and groupByKey broken,Bug
SuYan,2015/03/03 00:54:08,2014/12/06 11:40:41,SuYan,47607,Some block memory after unrollSafely not count into used memory(memoryStore.entrys or unrollMemory),Bug
marmbrus,2014/12/14 19:55:59,2014/12/06 03:49:12,javadba,58007,Possible problem in a simple join?  Getting duplicate rows and missing rows,Bug
kostas,2014/12/08 23:45:12,2014/12/06 00:32:07,kostas,83585,Make HiveFromSpark example more portable,Bug
,2014/12/09 06:34:53,2014/12/06 00:30:01,dyross,21892,CTAS Doesn't Use the Current Schema,Bug
nkronenfeld,2014/12/17 20:19:08,2014/12/05 21:49:43,nkronenfeld,80965,"Accumulators leak memory, both temporarily and permanently",Bug
andrewor14,2014/12/10 20:44:22,2014/12/05 21:40:41,andrewor14,83021,Document standalone --supervise feature,Bug
sandyr,2014/12/09 00:29:25,2014/12/05 20:51:57,sandyr,13048,spark.scheduler.minRegisteredResourcesRatio documented default is incorrect for YARN,Bug
chenghao,2014/12/09 01:42:03,2014/12/05 20:50:53,marmbrus,17470,CTAS does not work when reading from temporary tables,Bug
yhuai,2015/02/03 20:51:00,2014/12/05 20:18:46,cheffpj,1934,Add Support For Impala Encoded Timestamp (INT96),Improvement
holdenk_amp,2014/12/16 22:37:53,2014/12/05 19:55:50,holdenk,9723,Add support for launching in a specified placement group to spark ec2 scripts.,Improvement
kayousterhout,2014/12/09 23:12:22,2014/12/05 19:06:19,pwendell,14763,Add GC back to default metrics,Improvement
preaudc,2014/12/17 20:11:22,2014/12/05 14:22:10,preaudc,20952,Ensure that files are fetched atomically,Improvement
,2014/12/19 20:31:42,2014/12/05 09:01:08,saucam,41434,Add support for tuples in 'where in' clause query,Improvement
lian cheng,2014/12/05 21:52:11,2014/12/05 08:36:26,pwendell,47745,"With JDBC server, set Kryo as default serializer and disable reference tracking",Bug
andrewor14,2015/01/21 18:49:49,2014/12/05 07:43:24,dgshep,39985,Deadlock in complex spark job in local mode,Bug
,2015/01/05 19:40:41,2014/12/05 05:46:12,huangjs,50069,Yarn-client failed to start due to Wrong FS error in distCacheMgr.addResource,Bug
,2014/12/19 04:11:22,2014/12/05 05:12:49,guowei2,82713,"sessionToActivePool  grow infinitely, even as sessions expire",Bug
adrian-wang,2014/12/17 20:51:55,2014/12/05 04:49:34,adrian-wang,57741,SQRT(negative value) should return null,Bug
andrewor14,2014/12/19 01:42:47,2014/12/05 03:05:22,andrewor14,81445,ExecutorAllocationManager should not take in SparkContext,Improvement
marmbrus,2014/12/05 20:45:18,2014/12/05 02:45:54,marmbrus,64764,Parquet2 does not prune based on OR filters on partition columns,Bug
andrewor14,2014/12/17 20:13:03,2014/12/05 00:28:13,andrewor14,71090,Dynamic allocation - we need to synchronize kills,Bug
nate.crosswhite,2015/01/21 18:33:12,2014/12/04 21:50:33,nate.crosswhite,74559,Allow initializing KMeans clusters using a seed,Improvement
,2014/12/05 13:54:17,2014/12/04 21:49:27,tiangolo,57890,PySpark can't read data in HDFS in YARN mode,Bug
,2014/12/04 18:56:12,2014/12/04 18:08:26,rdub,2866,Move JobProgressListener out of org.apache.spark.ui.jobs,Improvement
irashid,2015/03/23 16:46:15,2014/12/04 17:46:35,irashid,82780,integration tests should be separated from faster unit tests,Bug
alexdebrie,2014/12/04 22:21:13,2014/12/04 14:35:03,alexdebrie,27970,get_existing_cluster() doesn't work with additional security groups,Bug
,2014/12/17 05:19:04,2014/12/04 12:55:51,chenghao,58993,Short Circuit evaluation for AND & OR in code gen,Improvement
ivan.vergiliev,2014/12/19 00:33:39,2014/12/04 12:18:11,ivan.vergiliev,44128,Use SparkEnv.serializer instead of closureSerializer in aggregateByKey and foldByKey,Improvement
,2014/12/12 06:54:32,2014/12/04 09:49:40,sasakitoa,75892,The name of Parquet File generated by AppendingParquetOutputFormat should be zero padded,Improvement
viirya,2015/02/18 08:46:12,2014/12/04 08:39:21,viirya,411,Do not destroy and re-create FileInputStream,Improvement
rxin,2014/12/15 18:18:36,2014/12/04 07:57:43,liyezhang556520,37253,Netty's network throughput is about 1/2 of NIO's in spark-perf sortByKey,Improvement
,2015/02/28 03:15:17,2014/12/04 07:08:13,tgpfeiffer,72424,spark.files.userClassPathFirst does not work in local[*] mode,Bug
mccheah,2015/02/02 06:04:04,2014/12/04 05:20:43,pwendell,2601,Prevent serialization errors from ever crashing the DAG scheduler,Bug
chenghao,2014/12/19 20:25:36,2014/12/04 04:06:54,chenghao,58722,Spark SQL UDF doesn't support 0 arguments.,Bug
,2015/03/10 03:15:54,2014/12/04 03:05:33,surq,621,[Streaming]limit the file Dstream size for each batch,New Feature
maropu,2014/12/22 20:20:19,2014/12/04 01:22:11,maropu,68288,Add missing prameter comments in ShuffleDependency,Documentation
andrewor14,2014/12/13 22:12:29,2014/12/03 22:47:44,jey,84285,Spark 1.1.1 launches broken EC2 clusters,Bug
andrewor14,2014/12/23 22:29:17,2014/12/03 22:09:09,andrewor14,1208,Warn against deprecated YARN settings,Bug
rnowling,2014/12/19 05:02:13,2014/12/03 17:36:57,rnowling,41116,"Add exponential, log normal, and gamma distributions to data generator to MLlib",New Feature
,2014/12/31 19:16:10,2014/12/03 15:18:49,dimama,14241,NotSerializableException thrown on SystemDefaultHttpClient with stack not related to my functions,Bug
,2014/12/03 15:20:12,2014/12/03 14:14:36,emres,3936,JavaNetworkWordCount.java has a wrong import,Bug
,2014/12/17 05:20:41,2014/12/03 10:08:44,ueshin,69117,Remainder should also return null if the divider is 0.,Bug
rxin,2014/12/04 08:46:09,2014/12/03 09:24:17,rxin,84112,Consolidate various narrow dep RDD classes with MapPartitionsRDD,Bug
,2014/12/13 22:12:29,2014/12/03 09:09:56,ibl,46953,spark-ec2 script creates empty spark folder,Bug
dbtsai,2014/12/03 14:33:39,2014/12/03 08:44:56,dbtsai,20923,Optimize BLAS library to avoid de-reference multiple times in loop,Improvement
zsxwing,2014/12/03 20:21:13,2014/12/03 07:58:43,zsxwing,44550,ShuffleMemoryManager.tryToAcquire may return a negative value,Bug
SuYan,2014/12/17 20:17:55,2014/12/03 07:16:51,SuYan,46864,BlockManager should check whether blocks have already been removed Checking block is null or not after having gotten info.lock in remove block method,Improvement
,2014/12/12 06:42:08,2014/12/03 05:12:53,chenghao,5355,SchemaRDD.unpersist() should not raise exception if it is not cached.,Bug
,2014/12/03 04:04:18,2014/12/03 03:55:17,shenhong,541,uploading jar when set spark.yarn.jar ,Bug
josephkb,2014/12/04 00:59:31,2014/12/03 03:52:55,josephkb,75996,MLlib optimization: docs should suggest how to choose optimizer,Documentation
josephkb,2014/12/03 15:00:07,2014/12/03 03:47:53,josephkb,40334,Fix MLlib compilation warnings,Improvement
,2015/02/03 20:45:43,2014/12/03 02:26:00,felixcheung,65983,Spark SQL support error reading Parquet with timestamp type field,Bug
dbtsai,2014/12/03 11:03:40,2014/12/03 01:20:42,dbtsai,34978,Make k-mean runs two/three times faster with dense/sparse sample,Improvement
,2015/02/04 22:21:15,2014/12/03 00:41:13,hshreedharan,78002,Reliable Kafka Receiver can lose data if the block generator fails to store data,Bug
srowen,2015/03/13 17:44:37,2014/12/02 21:59:33,stephen,71104,SparkSubmitDriverBootstrap doesn't flush output,Bug
andrewor14,2014/12/02 20:55:31,2014/12/02 20:44:53,andrewor14,638,Windows path resolution is incorrect,Bug
,2014/12/04 18:50:54,2014/12/02 20:15:54,yanakad,81300,Querying  non-existent partition produces exception in v1.2.0-rc1,Bug
tsudukim,2014/12/03 20:09:10,2014/12/02 19:41:54,tsudukim,1636,Typo in sbt/sbt,Bug
,2014/12/16 20:38:25,2014/12/02 18:59:47,judynash,5918,Add Http support to Spark Thrift server,New Feature
WangTaoTheTonic,2015/01/24 23:05:46,2014/12/02 14:56:09,WangTaoTheTonic,29377,System properties should override environment variables,Bug
,2014/12/02 22:32:43,2014/12/02 14:49:27,scwf,27796, Get result using executeCollect in spark sql ,Improvement
,2014/12/29 22:13:17,2014/12/02 12:56:43,carlmartin,33394,Long-run user thread(such as HiveThriftServer2) causes the 'process leak' in yarn-client mode,Bug
,2014/12/19 04:14:06,2014/12/02 12:22:37,yantangzhai,57089,PruningPredicates may be wrong if predicates contains an empty AttributeSet() references,Bug
,2015/01/10 23:05:55,2014/12/02 10:52:49,yantangzhai,43986,Support ! boolean logic operator like NOT,Improvement
maji2014,2014/12/17 20:16:29,2014/12/02 09:45:07,maji2014,37882,Restructure a few lines in shuffle code,Bug
,2014/12/04 02:02:54,2014/12/02 07:36:08,yijieshen,66406,AppendOnlyMap seems not using Quadratic probing as the JavaDoc,Question
varun_saxena,2015/01/05 21:19:26,2014/12/02 01:23:15,pwendell,71771,Have a single shared network timeout in Spark,Improvement
sandyr,2015/03/04 20:43:16,2014/12/02 01:11:13,jxiang,70323,SparkContext#addFile doesn't keep file folder information,Bug
kayousterhout,2014/12/02 17:09:47,2014/12/02 00:34:31,kayousterhout,59716,"Link to ""allowed master URLs"" is broken in configuration documentation",Bug
lewuathe,2014/12/04 08:54:23,2014/12/01 23:27:17,matei,34026,Update JavaDoc settings to include spark.ml and all spark.mllib subpackages in the right sections,New Feature
lian cheng,2014/12/04 18:23:52,2014/12/01 22:44:03,matei,70789,Add a beeline.cmd to run on Windows,New Feature
srowen,2015/02/19 23:36:06,2014/12/01 22:17:54,joshrosen,4692,Consolidate various 'Clock' classes,Improvement
,2014/12/02 08:25:43,2014/12/01 20:31:33,silvermast,42850,Add support for no-op compression,Improvement
,2014/12/02 06:40:06,2014/12/01 14:14:56,yantangzhai,59110,Add hadoop input time in task webui,Improvement
,2014/12/02 22:17:47,2014/12/01 13:19:34,yantangzhai,32293,JavaSchemaRDD.schema may throw NullType MatchError if sql has null,Bug
viirya,2014/12/19 05:41:57,2014/12/01 08:26:09,viirya,76548,Refactor getCallSite in Utils,Improvement
,2015/01/09 12:39:04,2014/12/01 07:57:02,scwf,16922,Optimizing limit using coalesce,Bug
,2014/12/03 10:11:11,2014/12/01 07:53:22,jerrylead,8269,Cut off the super long serialization chain in GraphX to avoid the StackOverflow error,Bug
,2014/12/23 23:46:36,2014/12/01 07:42:08,jerryshao,57868,Streaming block need not to replicate 2 copies when WAL is enabled,Bug
,2014/12/02 22:27:03,2014/12/01 06:35:09,adrian-wang,57114,bitwise NOT has a wrong `toString` output,Bug
rdub,2014/12/15 22:54:40,2014/12/01 06:05:42,rdub,60538,Fix documentation typos,Bug
,2015/01/12 22:38:03,2014/12/01 05:52:39,rdub,60324,Spillable can request more than twice its current memory from pool,Bug
,2015/02/10 01:04:34,2014/12/01 05:46:04,rdub,69510,Config value for setting yarn container overhead to a fraction of executor memory,Improvement
zsxwing,2014/12/01 08:33:01,2014/12/01 05:26:33,zsxwing,11188,Overflow of `maxFrameSizeBytes`,Bug
,2014/12/02 20:39:22,2014/12/01 04:00:09,baishuo,59953,close() function is not surrounded by finally in ParquetTableOperations.scala,Bug
,2014/12/12 06:43:14,2014/12/01 02:45:45,chenghao,14249,Whitelist more Hive unittest,Bug
zsxwing,2014/12/01 08:35:36,2014/12/01 02:38:48,zsxwing,21408,Minor code and docs cleanup,Improvement
pkolaczk,2015/03/25 19:57:49,2014/11/30 14:24:04,pkolaczk,20025,JavaSerializer uses wrong classloader,Bug
,2014/12/01 21:32:20,2014/11/30 03:48:37,ravi.pesala,63823,Code documentation issue in DDL of datasource,Bug
,2014/12/19 21:14:53,2014/11/30 02:51:12,pengyanhong,66221,Suport storing decimals in Parquet that don't fit in a LONG,Improvement
,2014/12/01 01:19:36,2014/11/30 02:18:35,lewuathe,82861,Typo in Programming Guide markdown,Bug
lewuathe,2014/12/04 23:26:11,2014/11/29 15:22:25,lewuathe,29026,Add docs about spark-git-repo option,Documentation
,2014/12/01 01:43:38,2014/11/29 00:41:30,ozawa,3728,Adding -Phadoop-2.4+ to compile Spark with newer versions of Hadoop,Improvement
,2014/12/01 21:30:22,2014/11/28 19:46:55,ravi.pesala,6207,"Supporting multi column support in countDistinct function like count(distinct c1,c2..) in Spark SQL",Bug
ravi.pesala,2015/02/11 21:25:15,2014/11/28 14:43:44,ravi.pesala,24091,Support COALESCE function in Spark SQL and HiveQL,Bug
,2015/02/07 23:13:28,2014/11/28 11:53:21,carlmartin,40807,yarn-client mode reports success even though job fails,Bug
,2014/12/08 03:38:29,2014/11/28 07:49:22,maropu,71347,Replace Scala.util.Sorting.quickSort with Sorter(TimSort) in Spark,Improvement
lian cheng,2014/11/28 17:47:17,2014/11/28 07:22:48,lian cheng,37469,Asynchronous execution in HiveThriftServer2 with Hive 0.13.1 doesn't play well with Simba ODBC driver,Bug
adrian-wang,2014/11/28 17:43:12,2014/11/28 06:48:22,adrian-wang,39290,Remove unneeded staging repositories from build,Improvement
tsudukim,2015/01/24 23:26:21,2014/11/28 00:59:46,tsudukim,80795,Documents about running-on-YARN needs update,Improvement
,2014/11/28 13:13:41,2014/11/28 00:46:40,carlmartin,44821,A FileNotFoundException happened in Hash Shuffle Manager,Bug
,2014/12/12 06:44:56,2014/11/27 15:22:22,jackylk,55354,Pass maxIterations in as a parameter in Analyzer,Improvement
,2014/11/27 09:38:12,2014/11/27 09:22:08,oflebbe,964,spark-1.1.0 does not compile any more,Bug
,2015/01/09 02:57:50,2014/11/27 08:38:46,chenghao,65944,Cluster By & Distribute By output different with Hive,Bug
,2014/11/29 01:53:33,2014/11/27 06:26:02,DoingDone9,70051,Delete the val that never used in  execute() of HashOuterJoin.,Bug
,2014/11/27 17:33:21,2014/11/27 02:12:22,tsudukim,55259,Enable metrics for each application to be gathered in one node,Improvement
,2014/12/17 08:46:15,2014/11/27 01:59:47,maropu,24388,Support gzip in spark.compression.io.codec,Improvement
tdas,2014/12/01 04:52:41,2014/11/27 01:18:08,tdas,12873,Upgrade MQTT dependency to use mqtt-client 1.0.1,Improvement
,2015/02/13 10:42:18,2014/11/27 00:39:50,tdas,36148,Add real unit test for MQTT ,Test
,2014/11/26 19:00:25,2014/11/26 18:58:08,jegonzal,137,Too many TripletFields,Bug
silvermast,2014/11/28 08:37:14,2014/11/26 17:08:22,silvermast,55732,NoSuchElementException in CoarseGrainedSchedulerBackend,Bug
chenghao,2014/12/17 20:02:29,2014/11/26 14:56:09,chenghao,18380,"Support ""Sort By"" in both DSL & SimpleSQLParser",New Feature
,2014/12/01 00:21:21,2014/11/26 12:45:37,carlmartin,41744,Add the some error infomation if using spark-sql in yarn-cluster mode,Bug
,2014/11/29 20:15:50,2014/11/26 12:43:53,carlmartin,27117,Add the some error infomation if using spark-sql in yarn-cluster mode,Bug
,2014/12/08 03:43:01,2014/11/26 08:39:21,maropu,68620,Add unpersist in Graph/GraphImpl,Improvement
maji2014,2014/11/28 08:36:41,2014/11/26 08:16:09,maji2014,1232,"Double ""ms"" in ShuffleBlockFetcherIterator log",Bug
scwf,2014/12/17 05:27:52,2014/11/26 05:04:36,scwf,1396,Make foreign DDL commands options case-insensitive,Improvement
sandyr,2015/02/09 04:05:47,2014/11/26 04:51:34,sandyr,83653,Fix spark.yarn.applicationMaster.waitTries doc,Bug
,2015/01/23 10:30:59,2014/11/26 04:32:00,luanxuedong,21539,SPARK_CONF_DIR is not effective in spark-submit,Bug
,2014/12/09 18:16:00,2014/11/26 03:17:59,eggsby,53881,Cannot disconnect from spark-shell,Bug
mengxr,2014/11/26 19:36:03,2014/11/26 03:08:17,mengxr,59266,Slight API changes in Matrix and Matrices,Improvement
lian cheng,2014/11/28 02:02:17,2014/11/26 02:33:37,matei,84520,Make JdbcRDD easier to use from Java,Improvement
tdas,2014/11/26 15:16:26,2014/11/26 01:42:44,tdas,48822,Configuration object gets created for every task even if not new file/jar is added,Improvement
dbtsai,2014/12/02 03:41:33,2014/11/26 01:05:24,dbtsai,9369,Implement the efficient vector norm,Improvement
josephkb,2014/12/04 02:00:08,2014/11/26 00:58:50,josephkb,3678,Standardize API for DecisionTree: numClasses vs numClassesForClassification,Improvement
,2014/12/26 03:46:30,2014/11/25 23:48:17,tdas,14293,Reorganize StreamingContext implicit to improve API convenience,Improvement
vanzin,2014/12/24 03:10:01,2014/11/25 20:08:59,vanzin,25262,SparkSubmitDriverBootstrapper does not propagate EOF to child JVM,Bug
mengxr,2014/11/26 16:19:22,2014/11/25 18:31:44,mengxr,78458,Make MatrixFactorizationModel constructor public,Improvement
,2015/02/17 22:07:48,2014/11/25 15:04:20,alexangelini,25408,EOF when broadcasting a dict with an empty string value.,Bug
tdas,2014/11/25 22:44:32,2014/11/25 15:02:54,tdas,27698,saveAsNewAPIHadoopFiles by default does not use SparkContext's hadoop configuration ,Bug
tdas,2014/11/25 14:55:17,2014/11/25 12:55:57,tdas,7160,Call site of jobs generated by streaming incorrect in Spark UI,Bug
boyork,2015/03/13 18:49:20,2014/11/25 11:45:21,teppei_tosa,25439,org.apache.spark.graphx.VertexRDD.diff does not work,Improvement
,2014/11/27 07:13:58,2014/11/25 08:53:04,adrian-wang,80454,add hive profile to root pom,Improvement
viirya,2014/11/29 02:07:47,2014/11/25 08:21:04,viirya,64003,Use proper exception and reset variable in Utils.createTempDir() method,Bug
dbtsai,2014/11/25 09:58:09,2014/11/25 07:44:42,dbtsai,8007,Refactorize Normalizer to make code cleaner,Improvement
jerryshao,2014/12/17 20:05:02,2014/11/25 07:03:53,jerryshao,46869,Spark MetricsServlet is not worked because of initialization ordering,Bug
,2014/11/26 07:07:37,2014/11/25 07:01:30,Liu Hao,367,Improvement the broadcast for HiveConf,Improvement
,2014/12/03 10:09:47,2014/11/25 06:53:18,adrian-wang,11789,sum(1/0) would produce a very large number,Bug
andrewor14,2014/11/25 23:47:22,2014/11/25 06:13:05,joshrosen,63257,"""Worker registration failed: Duplicate worker ID"" error during Master failover",Bug
,2015/01/27 00:19:44,2014/11/25 05:09:47,mengxr,68997,ML add-ons to SchemaRDD,New Feature
srowen,2015/03/12 23:35:58,2014/11/25 05:05:57,mengxr,66601,Add API for feature attributes,Sub-task
mengxr,2015/01/29 01:14:31,2014/11/25 04:11:48,mengxr,75763,Python API for ML Pipeline,New Feature
sandyr,2015/02/02 20:27:27,2014/11/25 02:11:06,chengxiang li,65781,Spark dynamic executor allocation shouldn't use maxExecutors as initial number,Improvement
vanzin,2014/11/28 20:17:41,2014/11/25 02:01:05,nravi,65796,2x Performance regression for Spark-on-YARN,Bug
josephkb,2014/11/26 21:34:36,2014/11/25 01:40:00,josephkb,71676,GradientBoostedTrees error logging should use loss being minimized,Improvement
kaessmann,2014/12/01 13:05:04,2014/11/25 00:45:56,mengxr,44348,Add getVectors to Word2VecModel,New Feature
dbtsai,2014/11/25 19:07:40,2014/11/24 23:58:56,dbtsai,68924,Refactorize StandardScaler to improve the transformation performance,Improvement
josephkb,2014/12/04 01:59:39,2014/11/24 22:36:27,josephkb,12192,Document random forests and boosting in programming guide,Documentation
srowen,2015/02/27 01:36:15,2014/11/24 22:27:41,arahuja,11314,Scheduling Delay appears negative,Bug
davies,2014/11/25 00:42:15,2014/11/24 22:09:56,davies,9139,Row.asDict() should keep the type of values,Bug
,2014/11/25 01:30:06,2014/11/24 22:02:08,davies,12478,Python example of LBFGS for MLlib guide,Improvement
josephkb,2014/12/04 09:02:01,2014/11/24 19:32:04,mengxr,48597,Documentation for the pipeline features,Improvement
scwf,2015/01/28 08:07:25,2014/11/24 15:12:40,scwf,60885,Adding support for defining schema in foreign DDL commands.,Sub-task
,2014/12/19 04:22:07,2014/11/24 12:57:30,chenghao,55477,"Support SettableStructObjectInspector for function ""wrap"" in HiveObjectInspectors",Improvement
tsudukim,2015/02/26 23:33:45,2014/11/24 08:56:59,andrewor14,52606,History server shows negative time,Bug
wangxj8,2014/12/30 22:30:21,2014/11/24 08:44:26,wangxj8,49555,Add broadcast  join to left semi join,Improvement
ilganeli,2015/01/21 19:25:54,2014/11/24 06:53:18,sandyr,45156,"Rename ""externalSorting"" in Aggregator",Bug
sandyr,2014/12/10 00:27:32,2014/11/24 02:26:12,xuefuz,79280,Make SparkJobInfo and SparkStageInfo serializable,Improvement
,2014/12/19 21:04:51,2014/11/23 16:47:44,deanwampler,15427,SchemaRDD.groupBy(groupingExprs)(aggregateExprs) doesn't return the groupingExprs as part of the output schema,Bug
davies,2014/11/25 00:37:48,2014/11/23 09:15:36,davies,55332,GLM testing time regressions from Spark 1.1,Improvement
,2014/12/11 06:20:20,2014/11/22 13:10:28,scwf,61792,Set fair scheduler pool for JDBC client session in hive 13,Bug
lian cheng,2015/02/16 09:39:18,2014/11/22 09:19:24,scwf,1194,query for parquet table with string fields in spark sql hive get binary result,Bug
marmbrus,2014/12/03 22:18:21,2014/11/22 09:15:02,scwf,46999,query for empty parquet table in spark sql hive get IllegalArgumentException,Bug
davies,2014/11/25 01:18:37,2014/11/21 23:53:30,davies,5107,Python broadcast perf regression from Spark 1.1,Bug
srowen,2014/12/31 21:37:15,2014/11/21 23:17:19,srowen,80396,OOM when making bins in BinaryClassificationMetrics,Bug
andrewor14,2014/12/05 03:57:40,2014/11/21 23:14:35,andrewor14,16985,Improve HistoryServer first time user experience,Bug
,2014/11/30 04:20:21,2014/11/21 20:08:28,pedrorodriguez,29513,Javadoc failure for network-common causes publish-local to fail,Bug
,2014/11/22 20:50:16,2014/11/21 18:27:17,arahuja,8579,Post nightly releases,Improvement
,2015/02/11 08:01:11,2014/11/21 17:26:26,arahuja,52485,Add --version to spark-submit,Improvement
,2014/12/26 03:45:11,2014/11/21 10:11:06,gmaas,63245,Add 'processing delay' and 'totalDelay' to the metrics reported by the Spark Streaming subsystem,Improvement
sarutak,2014/12/02 20:11:04,2014/11/21 09:54:07,sarutak,37017,Add sqrt and abs to Spark SQL DSL,Bug
,2014/11/25 12:07:56,2014/11/21 09:07:11,waterman,10845,Fix the error in comments,Bug
pwendell,2014/11/21 20:13:20,2014/11/21 06:52:12,pwendell,48068,make-distribution in Spark 1.2 does not correctly detect whether Hive is enabled,Bug
davies,2015/02/20 23:58:07,2014/11/21 06:32:07,davies,62760,Cache serialized java objects instead of serialized python objects in MLlib,Improvement
gq,2014/12/12 12:58:32,2014/11/21 06:29:45,gq,23327,"GradientDescent get a wrong gradient value according to the gradient formula, which is caused by the miniBatchSize parameter.",Bug
,2014/12/02 00:25:58,2014/11/21 05:32:05,adrian-wang,68033,support view with column alias specified,New Feature
,2014/12/16 22:46:10,2014/11/21 02:07:04,wangxj8,74346,Add BroadcastNestedLoopJoin operator selection testsuite,Test
jongyoul,2014/12/03 00:48:56,2014/11/20 23:51:56,jongyoul,3420,MesosSchedulerBackend.resourceOffers cannot decline unused offers from acceptedOffers,Bug
marmbrus,2014/11/24 21:01:17,2014/11/20 23:20:25,marmbrus,78052,Failure to read parquet schema with missing metadata.,Bug
tdas,2014/11/24 21:52:50,2014/11/20 20:10:28,tdas,6142,Filestream does not use hadoop configuration set within sparkContext.hadoopConfiguration,Bug
tdas,2014/11/24 21:53:45,2014/11/20 20:09:27,tdas,6258,Filestream sometimes processes files twice,Bug
davies,2014/11/25 01:19:23,2014/11/20 19:52:53,davies,19590,Improve memory efficiency for python broadcast,Improvement
adav,2014/11/26 04:58:22,2014/11/20 19:49:36,hector.yee,32926,Netty off-heap memory use causes executors to be killed by OS,Bug
,2014/11/24 20:50:22,2014/11/20 19:34:19,nravi,4563,OOM/GC errors with sort-based shuffle,Bug
,2014/11/20 23:34:43,2014/11/20 19:14:59,ravi.pesala,15584,Support relational operator '<=>' in Spark SQL,Bug
chenghao,2014/12/30 20:15:00,2014/11/20 14:49:08,chenghao,19552,Unresolved Attribute Exception for sort by,Bug
,2014/11/21 00:20:30,2014/11/20 09:44:16,hoelog,52574,snappy-1.0.5.3 needs GLIBCXX_3.4.9,Question
mengxr,2015/03/10 03:14:34,2014/11/20 07:22:41,joshrosen,71513,Revert EC2 tag-based cluster membership patch in branch-1.2,Bug
adrian-wang,2015/02/03 20:23:02,2014/11/20 07:22:17,adrian-wang,46845,Native Date type for SQL92 Date,Sub-task
hase1031,2014/11/30 04:18:42,2014/11/20 07:15:37,joshrosen,75785,PR merge script should support closing multiple JIRA tickets,Bug
andrewor14,2015/01/25 23:25:00,2014/11/20 06:58:54,joshrosen,59166,Update documentation to clarify whether standalone-cluster mode is now officially supported,Bug
zsxwing,2014/11/30 01:23:50,2014/11/20 05:51:11,zsxwing,70359,Reduce the memory usage of CompactBuffer[T] when T is a primitive type,Improvement
gvramana,2015/01/19 21:46:13,2014/11/20 04:44:48,gvramana,61285,run-example fails if multiple example jars present in target folder,Bug
